Test ID: 2021-1-15 Stress PPT Video 50   Test Date: 01/15/21   Left vole: p8086   Right vole: p8093
Video source: .mp4, playback speed: 4x

RAW DATA:
State, Localtime, Full Timestamp of start (sec since epoch), Sec in state, Cum. sec in state
4, 18:12:20, 1615169540.375383, 0.900291, Cumulative duration: 266.591134
3, 18:12:21, 1615169541.275674, 2.519844, Cumulative duration: 119.500639
4, 18:12:23, 1615169543.795518, 0.898730, Cumulative duration: 267.489864
3, 18:12:24, 1615169544.694248, 3.165743, Cumulative duration: 122.666382
2, 18:12:27, 1615169547.859991, 0.165329, Cumulative duration: 13.618054
1, 18:12:28, 1615169548.25320, 1.412400, Cumulative duration: 77.815511
2, 18:12:29, 1615169549.437720, 2.669989, Cumulative duration: 16.288043
3, 18:12:32, 1615169552.107709, 3.765444, Cumulative duration: 126.431826
4, 18:12:35, 1615169555.873153, 8.562434, Cumulative duration: 276.052298
3, 18:12:44, 1615169564.435587, 1.245548, Cumulative duration: 127.677374
2, 18:12:45, 1615169565.681135, 0.149612, Cumulative duration: 16.437655
1, 18:12:45, 1615169565.830747, 5.535535, Cumulative duration: 83.351046
2, 18:12:51, 1615169571.366282, 0.719571, Cumulative duration: 17.157226
1, 18:12:52, 1615169572.85853, 28.004371, Cumulative duration: 111.355417
2, 18:13:20, 1615169600.90224, 0.131644, Cumulative duration: 17.288870
3, 18:13:20, 1615169600.221868, 0.166868, Cumulative duration: 127.844242
4, 18:13:20, 1615169600.388736, 17.188099, Cumulative duration: 293.240397
3, 18:13:37, 1615169617.576835, 0.689637, Cumulative duration: 128.533879
4, 18:13:38, 1615169618.266472, 0.211497, Cumulative duration: 293.451894
3, 18:13:38, 1615169618.477969, 0.151160, Cumulative duration: 128.685039
2, 18:13:38, 1615169618.629129, 0.149389, Cumulative duration: 17.438259
1, 18:13:38, 1615169618.778518, 0.117370, Cumulative duration: 111.472787
0, 18:13:38, 1615169618.895888, 5.820625, Cumulative duration: 20.849594
1, 18:13:44, 1615169624.716513, 3.540327, Cumulative duration: 115.013114
2, 18:13:48, 1615169628.256840, 0.433826, Cumulative duration: 17.872085
1, 18:13:48, 1615169628.690666, 1.651192, Cumulative duration: 116.664306
0, 18:13:50, 1615169630.341858, 10.920175, Cumulative duration: 31.769769
1, 18:14:1, 1615169641.262033, 12.916163, Cumulative duration: 129.580469
2, 18:14:14, 1615169654.178196, 0.149146, Cumulative duration: 18.021231
3, 18:14:14, 1615169654.327342, 0.693238, Cumulative duration: 129.378277
4, 18:14:15, 1615169655.20580, 25.603336, Cumulative duration: 319.055230
3, 18:14:40, 1615169680.623916, 2.371628, Cumulative duration: 131.749905
4, 18:14:42, 1615169682.995544, 18.058543, Cumulative duration: 337.113773
3, 18:15:1, 1615169701.54087, 0.209819, Cumulative duration: 131.959724
2, 18:15:1, 1615169701.263906, 0.390052, Cumulative duration: 18.411283
1, 18:15:1, 1615169701.653958, 4.800430, Cumulative duration: 134.380899
0, 18:15:6, 1615169706.454388, 100.007773, Cumulative duration: 131.777542
1, 18:16:46, 1615169806.462161, 1.679289, Cumulative duration: 136.060188
0, 18:16:48, 1615169808.141450, 250.147852, Cumulative duration: 381.925394
1, 18:20:58, 1615170058.289302, 1.649922, Cumulative duration: 137.710110
0, 18:20:59, 1615170059.939224, 1693.235387, Cumulative duration: 2075.160781
---------------NOTES----------------------------------------------------
----------------------------------------------------------------------


SUMMARY DATA:
--------------ACTUAL SCORED TOTALS (at scoring speed)------------------
Total time left:  36.88 min
Total time right: 7.82 min
Time solo:        0.31 min
Huddling left:    34.59 min, 6 bout(s)        Huddling right:   5.62 min, 15 bout(s)        
Not hudd left:    2.30 min
Not hudd right:   2.20 min
Total min scored: 45.01 min
Activity (corrected center entries): 37
--------------SCALED SCORED TOTALS (180 min test)--------------------------
Left vole: p8086, Right vole: p8093
Total min (scaled): 180.00 min

Total time left:  147.51 min
Total time right: 31.27 min
Time solo:        1.23 min
Activity (corrected enter entries): 37
Huddling left:    138.33 min, 6 bout(s)
Huddling right:   22.47 min, 15 bout(s)

Scored by: Redacted Vole

---------------NOTES----------------------------------------------------
The focal vole favoured the left vole while it was exploring in the first 2 hours, but then favoured the right vole when it settled down.
